綠化單元代碼,設置年度,縣市,綠化單元名稱,基地地址,"座標
(WGS 84 X)","座標
(WGS 84 Y)",TWD97X,TWD97Y,基地面積(平方公尺),"補助單位
(下拉式選單)","設置地點類型
(下拉式選單)","維運單位類型
(下拉式選單)","列管狀態
(下拉式選單)",單位名稱,地址,聯絡人,聯絡電話,認養單位,"類型
(下拉式選單)","認養期限
(民國年?月?日)",迄今認養年度
gw-104,112,桃園市,新屋高中國中部,桃園市新屋區中興路111號,24.97002958,121.1019052,260288.8053,2762461.855,48.39,環境部,國中,自行維運,未解列,新屋高中國中部,桃園市新屋區中興路111號,白衛生組長、涂事務組長,03-4772029#314、511,-,無,-,-
gw-105,112,桃園市,中山國民小學,桃園市桃園區國際路一段1070號,24.98640089,121.2902074,279296.835,2764302.644,7.2,環保局,國小,自行維運,未解列,中山國民小學,桃園市桃園區國際路一段1070號,林總務主任,03-2203012#510,-,無,-,-
gw-106,112,桃園市,復旦國民小學,桃園市平鎮區廣平街1號,24.95473317,121.2076897,270971.9,2760779.78,9.95,環保局,國小,自行維運,未解列,復旦國民小學,桃園市平鎮區廣平街1號,總務主任,03-4917491#510,-,無,-,-
gw-107,112,桃園市,東興國民中學,桃園市中壢區廣州路25號,24.94991479,121.2296592,273191.23,2760249.66,36.6,環保局,國中,自行維運,未解列,東興國民中學,桃園市中壢區廣州路25號,總務主任,03-45835009#510,-,無,-,-
gw-108,113,桃園市,文山國民小學,桃園市桃園區文中路120號,24.9964391,121.2914,279414.844,2765414.76,10.9,環保局,國小,自行維運,未解列,文山國民小學,桃園市桃園區文中路120號,總務主任,03-3601400#510,-,無,-,-
gw-109,113,桃園市,普仁國民小學,桃園市中壢區中山東路二段425號,24.94852278,121.2445062,274690.773,2760098.095,4.2,環保局,國小,自行維運,未解列,普仁國民小學,桃園市中壢區中山東路二段425號,總務主任,03-4563830#510,-,無,-,-
gw-110,113,桃園市,壽山國民小學,桃園市龜山區萬壽路二段6巷61號,25.00275442,121.3643033,286772.11,2766132.06,9.06,環保局,國小,自行維運,未解列,壽山國民小學,桃園市龜山區萬壽路二段6巷61號,總務主任,03-3291782#510,-,無,-,-
gw-111,113,桃園市,同德國民小學,桃園市桃園區同德六街175號,25.01474606,121.29598,279872.735,2767443.492,4.92,環保局,國小,自行維運,未解列,同德國民小學,桃園市桃園區同德六街175號,事務組長,03-3176403#531,-,無,-,-
gw-112,111,新竹縣,北平華德福實驗學校,新竹縣新埔鎮北平里62號,24.85267982,121.0862898,258720.4501,2749463.035,15.40,環保局,國小,自行維運,未解列,新竹縣北平華德福實驗學校,新竹縣新埔鎮北平里62號,尤淑芬,03-5882897#12,-,-,-,-
gw-113,111,新竹縣,成功國中,新竹縣竹北市成功八路99號,24.8186664,121.0170367,251722.201,2745693.078,25.16,環保署,國中,自行維運,未解列,新竹縣成功國中,新竹縣竹北市成功八路99號,陳佳琪,03-5505924#8200,-,-,-,-
gw-114,111,新竹縣,自強國中,新竹縣竹東鎮自強路169號,24.74526451,121.0856,258658.198,2737565.789,13.50,環保署,國中,自行維運,未解列,新竹縣立自強國民中學,新竹縣竹東鎮自強路169號,蔡淑慧,03-5103291#130,-,-,-,-
gw-115,111,新竹縣,福興國小,新竹縣新豐鄉後湖村後湖子6鄰108號,24.93275452,121.0093621,250945.528,2758329.399,8.57,環保署,國小,自行維運,未解列,新竹縣新豐鄉福興國民小學,新竹縣新豐鄉後湖村後湖子6鄰108號,黃琬筠,03-5680964#12,-,-,-,-
gw-116,111,新竹縣,關西國小,新竹縣關西鎮西安里中山路126號,24.70289328,121.0541102,255474.945,2732871.222,13.60,環保署,國小,自行維運,未解列,新竹縣關西鎮關西國民小學,新竹縣關西鎮西安里中山路126號,龐玉雍,03-5872028#501,-,-,-,-
gw-117,111,新竹縣,關西國中,新竹縣關西鎮北斗里北門口41號,24.79811852,121.1729066,267481.616,2743428.172,13.60,環保署,國中,自行維運,未解列,新竹縣關西鎮關西國民中學,新竹縣關西鎮北斗里北門口41號,林國書,03-5872008#31,-,-,-,-
gw-118,111,新竹縣,博愛國中,竹北市縣政十三路81號,24.83041465,121.0071175,250719.426,2746994.216,17.4,環保署,國中,自行維運,未解列,新竹縣立博愛國民中學,竹北市縣政十三路81號,薛尤榮,03-5530243#501,-,-,-,-
gw-119,111,新竹縣,福龍國小,新竹縣新豐鄉福興村113號,24.93013777,121.0358525,253621,2758040.01,71.2,環保署,國小,自行維運,未解列,新竹縣新豐鄉福龍國民小學,新竹縣新豐鄉福興村113號,王鵬豪,03-5993140#12,-,-,-,-
gw-120,111,新竹縣,玉山國小,新竹縣關西鎮玉山里4鄰25號,24.75755104,121.2086767,271105,2738940.01,20.0,環保署,國小,自行維運,未解列,新竹縣關西鎮玉山國民小學,新竹縣關西鎮玉山里4鄰25號,蔡沛玲,03-5476349#13,-,-,-,-
gw-121,111,新竹縣,富光國中,新竹縣關西鎮東光里十六張49號,24.77996196,121.1808028,268282.623,2741418.202,22.8,環保署,國中,自行維運,未解列,新竹縣富光國民中學,新竹縣關西鎮東光里十六張49號,黃瑞真,03-5872224#16,-,-,-,-
gw-122,111,新竹縣,二重國小,新竹縣竹東鎮光明路32號,24.76749665,121.0573104,255795.746,2740026.688,58.5,環保署,國小,自行維運,未解列,新竹縣竹東鎮二重國民小學,新竹縣竹東鎮光明路32號,陳盈志,03-5822098#721,-,-,-,-
gw-123,111,新竹縣,忠孝國中,新竹縣新豐鄉孝六街1號,24.87931714,120.9992682,249926.06,2752410.62,99.8,環保署,國中,自行維運,未解列,新竹縣立忠孝國民中學,新竹縣新豐鄉孝六街1號,王雪芳,03-5572555#47,-,-,-,-
gw-124,111,新竹縣,北埔鄉立幼兒園,新竹縣北埔鄉中興街2號,24.70127272,121.0592442,255994.4828,2732691.947,8.4,環保署,公立幼兒園,自行維運,未解列,新竹縣北埔鄉公所,新竹縣北埔鄉中山路20 號 ,陳明良,03-5802204,-,-,-,-
gw-125,111,新竹縣,湖口國小,新竹縣湖口鄉八德路二段182號,24.87877991,121.06051,256113.855,2752352.475,97.1,環保署,國小,自行維運,未解列,新竹縣湖口鄉湖口國民小學,新竹縣湖口鄉八德路二段182號,潘淑華,03-5692403#168,-,-,-,-
gw-126,111,新竹縣,清水國小,新竹縣新埔鎮清水里143號,24.86705526,121.1362247,263765.292,2751059.377,12.9,環保署,國小,自行維運,未解列,新竹縣新埔鎮清水國民小學,新竹縣新埔鎮清水里143號,林祐聖,03-5899235#13,-,-,-,-
gw-127,111,新竹縣,北埔鄉公所公有市場,新竹縣北埔鄉光復街30號 ,24.69926928,121.0563105,255697.7387,2732469.927,26.6,環保署,公有設施,自行維運,未解列,新竹縣北埔鄉公所,新竹縣北埔鄉中山路20 號 ,陳明良,03-5802204,-,-,-,-
gw-128,112,新竹縣,大坪多元智能生態美學實驗小學,新竹縣北埔鄉外大坪一鄰8號,24.67527006,121.0593357,256004.9914,2729811.968,23.5,教育局,國小,自行維運,未解列,大坪多元智能生態美學實驗小學,新竹縣北埔鄉外大坪一鄰8號,,(03)580-2264#12,-,-,-,-
gw-129,109,新竹市,南華國中,新竹市北區海濱路55號,24.84405388,120.927465,242669.1,2748506.82,246.8,環保署,國中,自行維運,設置中,南華國中,新竹市北區海濱路55號,彭燦明,5362204#155,-,-,-,-
gw-130,109,新竹市,三民國中,新竹市東區中央路345號,24.81394255,120.9806433,248043.2,2745169.9,79,環保署,國中,自行維運,設置中,三民國中,新竹市東區中央路345號,陳國慶,03-5339825 #137,-,-,-,-
gw-131,109,新竹市,香山高中附屬國中,新竹市香山區元培街124號,24.78515766,120.9291631,242837.3441,2741983.437,16,環保署,國中,自行維運,設置中,香山高中附屬國中,新竹市香山區元培街124號,黃弘毅,03-5384332#402,-,-,-,-
gw-132,110,新竹市,大庄國小,新竹市香山區大庄路48號,24.78940153,120.9278796,242707.81,2742453.55,60,環保署,國小,自行維運,設置中,大庄國小,新竹市香山區大庄路48號,賴曉寧,03-5384332#606,-,-,-,-
gw-133,110,新竹市,新科國中,新竹市東區光復路一段89巷88號,24.78004756,121.0236949,252396,2741415.8,83.8,環保署,國中,自行維運,設置中,新科國中,新竹市東區光復路一段89巷88號,李慈蘋,03-6686387#852,-,-,-,-
gw-134,111,新竹市,舊港里-防災中心,新竹市舊港里64-1號,24.84419356,120.9413105,244068.4293,2748521.617,4.2,環保署,公有設施,自行維運,設置中,舊港里辦公處,新竹市舊港里舊港47號,蔡松根,922012523,-,-,-,-
gw-135,111,新竹市,舊港里-里民集會所,新竹市北區6鄰54號,24.84562415,120.942019,244140.1037,2748680.038,3.5,環保署,公有設施,自行維運,設置中,舊港里辦公處,新竹市舊港里舊港47號,蔡松根,922012523,-,-,-,-
gw-136,111,新竹市,明湖里-亞美加公園,-,24.76862435,120.9772023,247694.5098,2740150.568,18.46,環保署,公有設施,自行維運,設置中,明湖里辦公處,新竹市明湖路1050巷180號,林汶蓉,986749297,-,-,-,-
gw-137,111,新竹市,香山高中附屬國中,新竹市香山區元培街124號,24.7851674,120.9291631,242837.3446,2741984.516,39.63,環保署,國中,自行維運,設置中,香山高中附屬國中,新竹市香山區元培街124號,黃弘毅,03-5384332#402,-,-,-,-
gw-138,112,新竹市,勤學樓後方之區域與圍牆、幼兒園遊具區與圍牆、仁愛樓花台,新竹市北區水田街33號,24.81418029,120.9655993,246522.3883,2745196.531,72,環保署,國小,自行維運,設置中,北門國小,新竹市水田街33號,李敦仁,03-5316668#100,-,-,-,-
gw-139,112,新竹市,仁愛樓花台,300新竹市東區民族路33號,24.80568123,120.9725546,247225.3244,2744255.024,21.732,環保署,國小,自行維運,設置中,新竹市東區東門國民小學,300新竹市東區民族路33號,李阿丹,03-5222109#860,-,-,-,-
gw-140,112,新竹市,F棟花台,300新竹市東區學府路4號,24.79456743,120.9782701,247802.9474,2743023.969,18.278,環保署,國中,自行維運,設置中,新竹市東區培英國民中學,300新竹市東區學府路4號,潘致惠,03-5721301#300,-,-,-,-
gw-141,113,新竹市,2樓教室陽台,300新竹市科學園路171號,24.78197855,121.0118857,251201.8539,2741629.519,5.91,環保局,國小,自行維運,設置中,新竹市東區科園國民小學,300新竹市科學園路171號,羅舒璘,03-6668421#130,-,-,-,-
gw-142,113,新竹市,普通教室及專科教室大樓兩側二至四樓各教室前洗手台區,300新竹市香山區延平路二段76號,24.80693346,120.9421437,244150.8955,2744394.68,7.93,環保局,國中,自行維運,設置中,新竹市立虎林國民中學,新竹市香山區延平路二段76號,王憶貞,03-5309433#214,-,-,-,-
gw-143,113,新竹市,感恩樓1至5樓各教室旁樓梯花台區,300新竹市建華里2鄰學府路2號,24.79330125,120.9762319,247596.8453,2742883.762,2.97,環保局,國中,自行維運,設置中,新竹市立建華國民中學,新竹市建華里2鄰學府路2號,邱泓信,03-55238075#130,-,-,-,-
gw-144,113,新竹市,第一教學大樓2至4樓花台,300新竹市東區中央路345號,24.81272371,120.9795522,247932.8829,2745034.919,18,環保局,國中,自行維運,設置中,新竹市立三民國民中學,新竹市東區中央路345號,陳國慶,03-5339825#131,-,-,-,-
gw-145,113,新竹市,弘愛樓2樓校長室旁,300新竹市北區四維路47號,24.79948355,120.9612814,246085.4301,2743568.852,20,環保局,國小,自行維運,設置中,國立清華大學附設實驗國民小學,新竹市北區四維路47號,蘇玉慧,03-5282420#302,-,-,-,-
gw-146,110,苗栗縣,水尾社區,苗栗縣後龍鎮水尾里12鄰104-7號,24.63268994,120.762721,225978.3053,2725115.369,16.05,環保局,其他,志工認養,未解列,水尾社區,苗栗縣後龍鎮水尾里12鄰104-7號,方建忠,0939-288691,水尾社區,志工認養,"111/01/18-
113/01/18",1
gw-147,111,苗栗縣,海口社區,苗栗縣竹南鎮海口里育才路六號,24.67525419,120.8622238,236056.5281,2729815.911,8.4,環保局,其他,志工認養,未解列,海口社區,苗栗縣竹南鎮海口里育才路六號,陳啟文,037-477174,海口社區,志工認養,"112/01/30-
114/01/30",-
gw-148,111,苗栗縣,溪洲社區,苗栗縣後龍鎮溪洲理7鄰四份仔路28號,24.62025464,120.7811246,227839.2602,2723734.985,8.4,環保局,其他,志工認養,未解列,溪洲社區,苗栗縣後龍鎮溪洲理7鄰四份仔路28號,何錦麟,037-723585,溪洲社區,志工認養,"112/01/31-
114/01/31",-
gw-149,111,苗栗縣,成功國小,苗栗縣後龍鎮水尾104-1號,24.63268046,120.7617472,225879.71,2725114.49,8.5,環保局,國小,自行維運,未解列,成功國小,苗栗縣後龍鎮水尾104-1號,朱組長,037-722211#15,成功國小,自行維運,"112/03/28-
114/03/28",-
gw-150,111,苗栗縣,景山國小,苗栗縣卓蘭鎮景山里88號,24.35263063,120.8652553,236328.46,2694083.49,16.2,環境部,國小,自行維運,未解列,景山國小,苗栗縣卓蘭鎮景山里88號,邱世祺,04-25921221#11,景山國小,自行維運,"111/10/12-
113/10/12",-
gw-151,111,苗栗縣,龍昇社區,苗栗縣造橋鄉龍昇村8鄰16-1號,24.6418242,120.8292122,232711.0182,2726117.059,8.4,環保局,其他,志工認養,未解列,龍昇社區,苗栗縣造橋鄉龍昇村8鄰16-1號,陳吳滿玉,037-651565,龍昇社區,志工認養,"111/12/20-
113/12/20",-
gw-152,112,苗栗縣,頭份國中,苗栗縣頭份市中央路275號,24.69174083,120.9013502,240017.588,2731638.516,25,環境部,國中,自行維運,未解列,頭份國中,苗栗縣頭份市中央路275號,林安正,0928-183949,頭份國中,自行維運,"112/09/25-
114/09/25",-
gw-153,112,苗栗縣,尖山國小,苗栗縣頭份市尖下里尖豐路305號,24.65430872,120.8831259,238169.934,2727494.092,24.95,環境部,國小,自行維運,未解列,尖山國小,苗栗縣頭份市尖下里尖豐路305號,邱秀玲,"037-
624474#51",尖山國小,自行維運,"112/10/03-
114/10/03",-
gw-154,112,苗栗縣,新開國小,苗栗縣大湖鄉新開村4鄰25號,24.35230037,120.7976048,229464.41,2694055.24,20.67,環境部,國小,自行維運,未解列,新開國小,苗栗縣大湖鄉新開村4鄰25號,李光明,037-951210#281,新開國小,自行維運,"112/10/12-
114/10/12",-
gw-155,112,苗栗縣,福星社區,苗栗縣公館鄉福星村6鄰186-1號,24.48565118,120.8279086,232557.4598,2708820.174,7.54,環保局,其他,志工認養,未解列,福星社區,苗栗縣公館鄉福星村6鄰186-1號,謝恩榮,037-233778,福星社區,志工認養,112/11/13-114/11/13,-
gw-156,112,苗栗縣,啟明國小,苗栗縣通霄鎮內島里二鄰15號,24.55929822,120.708963,220518.724,2716997.198,4.32,環保局,國小,自行維運,未解列,啟明國小,苗栗縣通霄鎮內島里二鄰15號,趙文德,037-791388,啟明國小,自行維運,112/11/14-114/11/14,-
gw-157,112,苗栗縣,大埔社區,竹南鎮大埔里19鄰五福新村36號,24.71570883,120.9052765,240416.7206,2734292.871,7,環保局,其他,志工認養,未解列,大埔社區,竹南鎮大埔里19鄰五福新村36號,鄭文進,0932-668330,大埔社區,志工認養,112/11/13-114/11/13,-
gw-158,112,苗栗縣,大埔國小,苗栗縣竹南鎮仁愛路1092號,24.70851436,120.8899179,238862.241,2733497.19,8.42,環保局,國小,自行維運,未解列,大埔國小,苗栗縣竹南鎮仁愛路1092號,徐臻輝,037-584370,大埔國小,自行維運,112/11/10-114/11/10,-
gw-159,112,苗栗縣,坪林國小,苗栗縣卓蘭鎮坪林里7鄰86-2號,24.33581565,120.8763021,237447.64,2692220.15,6.5,環保局,國小,自行維運,未解列,坪林國小,苗栗縣卓蘭鎮坪林里7鄰86-2號,藍曉萍,04-25921334,坪林國小,自行維運,112/11/13-114/11/13,-
gw-160,113,苗栗縣,田美國小,苗栗縣南庄鄉田美村9鄰191號,24.62934021,121.0084824,250858.76,2724723.66,160,環保局,國小,自行維運,未解列,田美國小,苗栗縣南庄鄉田美村9鄰191號,紀子鈞,037-822445,田美國小,自行維運,"113/07/31-
115/07/31",-
gw-161,113,苗栗縣,頭份國中,苗栗縣頭份市中央路275號,24.69174083,120.9013502,240017.588,2731638.516,16,環保局,國中,自行維運,未解列,頭份國中,苗栗縣頭份市中央路275號,林安正,037-663207#304,頭份國中,自行維運,"113/08/02-
115/08/02",-
gw-162,113,苗栗縣,苑裡國小,苗栗縣苑裡鎮中山路307號,24.44835958,120.655125,215034.361,2704722.679,16,環保局,國小,自行維運,未解列,苑裡國小,苗栗縣苑裡鎮中山路307號,張銘麟,037-861013,苑裡國小,自行維運,"113/08/21-
115/08/21",-
gw-163,113,苗栗縣,福興武術國小,苗栗縣通霄鎮福興里58-2號,24.42556284,120.7276607,222383.5771,2702181.448,35.54,環保局,國小,自行維運,未解列,福興武術國小,苗栗縣通霄鎮福興里58-2號,丁厚尹,037-783832#16,福興武術國小,自行維運,"113/09/06-
115/09/06",-
gw-164,113,苗栗縣,苑裡高級中學,苗栗縣苑裡鎮客庄里一鄰2號,24.43805893,120.6637009,215901.0769,2703579.693,48.62,環保局,國中,自行維運,未解列,苑裡高級中學,苗栗縣苑裡鎮客庄里一鄰2號,蕭盟議,037-861042-151,苑裡高級中學,自行維運,"113/09/24-
115/09/24",-
gw-165,108,臺中市,清水區甲南國民小學,臺中市清水區臨海路26號,24.30670759,120.5955152,208944.964,2689050.447,18.2,環保署,國小,自行維運,未解列,清水區甲南國民小學,臺中市清水區臨海路26號,蔡文勝,04-26261834#701,-,-,-,-
gw-166,108,臺中市,大雅區大雅國民小學,臺中市大雅區學府路230號,24.22223835,120.6511056,214564,2679680.01,65,環保署,國小,自行維運,未解列,大雅區大雅國民小學,臺中市大雅區學府路230號,詹幃婷,04-25667766#730,-,-,-,-
gw-167,108,臺中市,龍井區龍泉國民小學,臺中市龍井區龍新路162號,24.19611452,120.5476672,204048.63,2676816.87,16,環保署,國小,自行維運,未解列,龍井區龍泉國民小學,臺中市龍井區龍新路162號,蔡慧萍,04-26353340#203,-,-,-,-
gw-168,108,臺中市,西屯區東海國民小學,臺中市西屯區國際街75號,24.18504113,120.5939551,208747.394,2675576.036,21.5,環保署,國小,自行維運,未解列,西屯區東海國民小學,臺中市西屯區國際街75號,張凱棠,04-23509797#170,-,-,-,-
gw-169,108,臺中市,北區賴厝國民小學,臺中市北區漢口路四段168號,24.16653592,120.6787046,217352.977,2673504.177,44,環保署,國小,自行維運,未解列,北區賴厝國民小學,臺中市北區漢口路四段168號,謝文慶,04-22302388#730,-,-,-,-
gw-170,108,臺中市,北屯區東光國民小學,臺中市北屯區東光路926號,24.1718028,120.7017289,219693.748,2674082.309,76,環保署,國小,自行維運,未解列,北屯區東光國民小學,臺中市北屯區東光路926號,張瓊文,04-24377215#730,-,-,-,-
gw-171,108,臺中市,北屯區松竹國民小學,臺中市北屯區昌平路二段12號,24.18088893,120.6899147,218495.573,2675091.215,17.01,環保署,國小,自行維運,未解列,北屯區松竹國民小學,臺中市北屯區昌平路二段12號,劉清宏,04-22447043#730,-,-,-,-
gw-172,108,臺中市,西區忠明國民小學,臺中市西區臺灣大道二段556號,24.15780019,120.6591295,215361.568,2672541.394,23.16,環保署,國小,自行維運,未解列,西區忠明國民小學,臺中市西區臺灣大道二段556號,蔡欣男,04-23172860#731,-,-,-,-
gw-173,108,臺中市,西屯區大仁國民小學,臺中市西屯區重慶路200號,24.16765986,120.6581796,215267.714,2673633.596,23.4,環保署,國小,自行維運,未解列,西屯區大仁國民小學,臺中市西屯區重慶路200號,沈欹婷,04-23134545#731,-,-,-,-
gw-174,109,臺中市,北區賴厝國民小學,臺中市北區漢口路四段168號,24.16653592,120.6787046,217352.977,2673504.177,50,環保署,國小,自行維運,未解列,北區賴厝國民小學,臺中市北區漢口路四段168號,張正明,04-22302388#735,-,-,-,-
gw-175,109,臺中市,北屯區東光國民小學,臺中市北屯區東光路926號,24.1718028,120.7017289,219693.748,2674082.309,96,環保署,國小,自行維運,未解列,北屯區東光國民小學,臺中市北屯區東光路926號,張瓊文,04-24377215#730,-,-,-,-
gw-176,109,臺中市,太平區新平國民小學,臺中市太平區樹孝路336巷9號,24.15472648,120.720119,221558.53,2672187.24,24.42,環保署,國小,自行維運,未解列,太平區新平國民小學,臺中市太平區樹孝路336巷9號,趙曉萍,04-23914533#731,-,-,-,-
gw-177,109,臺中市,臺中市立立新國民中學,臺中市大里區甲堤路236號,24.10462648,120.6962824,219124.22,2666643.71,27,環保署,國中,自行維運,未解列,臺中市立立新國民中學,臺中市大里區甲堤路236號,蕭頌恩,04-22732299#301,-,-,-,-
gw-178,109,臺中市,南區和平國民小學,臺中市南區復興路二段57號,24.12054745,120.6594649,215385.625,2668415.552,28,環保署,國小,自行維運,未解列,南區和平國民小學,臺中市南區復興路二段57號,許順利,04-22613139#731,-,-,-,-
gw-179,109,臺中市,西屯區東海國民小學,臺中市西屯區國際街75號,24.18504113,120.5939551,208747.394,2675576.036,28,環保署,國小,自行維運,未解列,西屯區東海國民小學,臺中市西屯區國際街75號,張凱棠,04-23509797#170,-,-,-,-
gw-180,109,臺中市,西屯區國安國民小學,臺中市西屯區國祥街1號,24.19370794,120.608873,210265.699,2676531.579,55,環保署,國小,自行維運,未解列,西屯區國安國民小學,臺中市西屯區國祥街1號,蔡翠玲,04-24621681#730,-,-,-,-
gw-181,109,臺中市,臺中市立崇德國民中學,臺中市北屯區崇德路二段227號,24.1751267,120.6845743,217951.559,2674454.256,13,環保署,國中,自行維運,未解列,臺中市立崇德國民中學,臺中市北屯區崇德路二段227號,徐國勝,04-22454081#731,-,-,-,-
gw-182,109,臺中市,臺中市立三光國民中學,臺中市北屯區三光一街77號,24.16758945,120.6978361,219297.213,2673616.527,27,環保署,國中,自行維運,未解列,臺中市立三光國民中學,臺中市北屯區三光一街77號,呂志成,04-22313699#730,-,-,-,-
gw-183,109,臺中市,北屯區軍功國民小學,臺中市北屯區軍福十三路300號,24.17324748,120.719295,221478.908,2674238.615,30,環保署,國小,自行維運,未解列,北屯區軍功國民小學,臺中市北屯區軍福十三路300號,許建仁,04-24370696#731,-,-,-,-
gw-184,109,臺中市,霧峰區吉峰國民小學,臺中市霧峰區民生路349號,24.0797512,120.7191651,221444.963,2663883.942,59,環保署,國小,自行維運,未解列,霧峰區吉峰國民小學,臺中市霧峰區民生路349號,吳秋櫻,04-23300893#830,-,-,-,-
gw-185,109,臺中市,大里區立新國民小學,臺中市大里區立新街338號,24.10516664,120.6993968,219440.96,2666702.85,19,環保署,國小,自行維運,未解列,大里區立新國民小學,臺中市大里區立新街338號,陳彥甫,04-22769178#831,-,-,-,-
gw-186,110,臺中市,太平區建平國民小學,臺中市太平區精美路201號,24.12412814,120.7245486,222002.01,2668797.58,90,環保署,國小,自行維運,未解列,太平區建平國民小學,臺中市太平區精美路201號,蔡宏仁,04-22779532#656,-,-,-,-
gw-187,110,臺中市,大里區立新國民小學,臺中市大里區立新街338號,24.10516664,120.6993968,219440.96,2666702.85,17,環保署,國小,自行維運,未解列,大里區立新國民小學,臺中市大里區立新街338號,陳彥甫,04-22769178#831,-,-,-,-
gw-188,110,臺中市,臺中市立立新國民中學,臺中市大里區甲堤路236號,24.10462648,120.6962824,219124.22,2666643.71,30,環保署,國中,自行維運,未解列,臺中市立立新國民中學,臺中市大里區甲堤路236號,蕭頌恩,04-22732299#301,-,-,-,-
gw-189,110,臺中市,南區信義國民小學,臺中市南區五權南路325號,24.12160092,120.6685561,216310,2668530.01,18.5,環保署,國小,自行維運,未解列,南區信義國民小學,臺中市南區五權南路325號,葉美秀,04-22622005#731,-,-,-,-
gw-190,110,臺中市,臺中市立惠文高級中學(國中部),臺中市南屯區公益路二段298號,24.15273573,120.6397562,213391.4467,2671985.43,59.5,環保署,國中,自行維運,未解列,臺中市立惠文高級中學(國中部),臺中市南屯區公益路二段298號,吳佳蓉,04-22503928#751,-,-,-,-
gw-191,110,臺中市,北屯區松竹國民小學,臺中市北屯區昌平路二段12號,24.18088893,120.6899147,218495.573,2675091.215,16.2,環保署,國小,自行維運,未解列,北屯區松竹國民小學,臺中市北屯區昌平路二段12號,劉清宏,04-22447043#730,-,-,-,-
gw-192,110,臺中市,臺中市立崇德國民中學,臺中市北屯區崇德路二段227號,24.1751267,120.6845743,217951.559,2674454.256,8,環保署,國中,自行維運,未解列,臺中市立崇德國民中學,臺中市北屯區崇德路二段227號,徐國勝,04-22454081#731,-,-,-,-
gw-193,110,臺中市,臺中市立居仁國民中學,臺中市西區自由路一段97號,24.13707469,120.678727,217347.768,2670241.326,18,環保署,國中,自行維運,未解列,臺中市立居仁國民中學,臺中市西區自由路一段97號,黃靜月,04-22223620#731,-,-,-,-
gw-194,110,臺中市,西屯區上安國民小學,臺中市西屯區上安路156號,24.1725107,120.6391399,213334.466,2674175.688,20,環保署,國小,自行維運,未解列,西屯區上安國民小學,臺中市西屯區上安路156號,蔡雅琳,04-24527322#733,-,-,-,-
gw-195,110,臺中市,大肚區瑞井國民小學,臺中市大肚區瑞井里華山路680號,24.15878548,120.5671167,206011.688,2672676.355,4,環保署,國小,自行維運,未解列,大肚區瑞井國民小學,臺中市大肚區瑞井里華山路680號,宋招宗,04-26912550,-,-,-,-
gw-196,110,臺中市,清水區大秀國民小學,臺中市清水區五權路336號,24.27942687,120.5572667,205053.101,2686040.824,47,環保署,國小,自行維運,未解列,清水區大秀國民小學,臺中市清水區五權路336號,蔡惠閔,04-26263754#216,-,-,-,-
gw-197,110,臺中市,北屯區東光國民小學,臺中市北屯區東光路926號,24.1718028,120.7017289,219693.748,2674082.309,30,環保署,國小,自行維運,未解列,北屯區東光國民小學,臺中市北屯區東光路926號,張瓊文,04-24377215#730,-,-,-,-
gw-198,111,臺中市,西屯區上安國民小學,臺中市西屯區上安路156號,24.1725107,120.6391399,213334.466,2674175.688,20,環保署,國小,自行維運,未解列,西屯區上安國民小學,臺中市西屯區上安路156號,楊珮琳,04-24527322#731,-,-,-,-
gw-199,111,臺中市,臺中市立石岡國民中學,臺中市石岡區豐勢路國中巷1號,24.2679313,120.7967784,229366.918,2684711.31,115,環保署,國中,自行維運,未解列,臺中市立石岡國民中學,臺中市石岡區豐勢路國中巷1號,鄭佳峻,04-25813117#209,-,-,-,-
gw-200,111,臺中市,東區成功國民小學,臺中市東區旱溪西路一段300號,24.13717959,120.6992895,219437.656,2670248.305,16,環保署,國小,自行維運,未解列,東區成功國民小學,臺中市東區旱溪西路一段300號,邱祝賢,04-22124224#730,-,-,-,-
gw-201,111,臺中市,北區中華國民小學,臺中市北區漢口路三段2號,24.1659291,120.6659322,216055,2673440.01,20,環保署,國小,自行維運,未解列,北區中華國民小學,臺中市北區漢口路三段2號,劉武佳,04-22979601#731,-,-,-,-
gw-202,111,臺中市,臺中市立居仁國民中學,臺中市西區自由路一段97號,24.13707469,120.678727,217347.768,2670241.326,18,環保署,國中,自行維運,未解列,臺中市立居仁國民中學,臺中市西區自由路一段97號,何侑霖,04-22223620#730,-,-,-,-
gw-203,111,臺中市,南屯區大墩國民小學,臺中市南屯區向上路二段201號,24.14667181,120.6401783,213432.615,2671313.736,32,環保署,國小,自行維運,未解列,南屯區大墩國民小學,臺中市南屯區向上路二段201號,張佾穎 ,04-23816608#731,-,-,-,-
gw-204,111,臺中市,大肚區瑞峰國民小學,臺中市南屯區向上路二段201號,24.16871853,120.573808,206694.995,2673774.369,31.2,環保署,國小,自行維運,未解列,大肚區瑞峰國民小學,臺中市南屯區向上路二段201號,蕭程尹,04-26911291#731,-,-,-,-
gw-205,111,臺中市,南區樹德國民小學,臺中市南區復興北路566號,24.11512184,120.6485014,214269.7086,2667817.415,30,環保署,國小,自行維運,未解列,南區樹德國民小學,臺中市南區復興北路566號,蔡幸芬,04-22602230#730,-,-,-,-
