醫療院所,縣市,鄉鎮市區,地址,電話,TWD97X,TWD97Y
安立診所,苗栗縣,南庄鄉,中正路138號1樓,825011,250006.06,2721747.83
安全牙醫診所,花蓮縣,花蓮市,中美路236號,03-8225879,313994.31,2654571.07
安吉耳鼻喉科診所,臺北市,大安區,和平東路三段226號,27385008,305955.3128,2768365.877
安安十全婦幼診所,高雄市,三民區,十全三路280號,,176691.83,2505526.42
安安小兒科診所,桃園市,中壢區,龍岡路二段109號1樓,03 4590592,273164.04,2759770.7
安安牙醫診所,臺北市,中正區,杭州南路一段15之1號12樓,2356-34272391-6300,303163.7347,2770617.023
安安牙醫診所,臺南市,永康區,復華里復國一路429號1樓,06-2015925,172679.71,2546044.92
安安牙醫診所,嘉義縣,民雄鄉,東榮村和平路13號,05 2063733,191936.47,2605915.85
安安耳鼻喉科診所,彰化縣,員林市,靜修路一之七號,04─8385660,206644.28,2650969.88
安安婦兒聯合診所,雲林縣,虎尾鎮,林森路二段四二八號1.2.3樓,05-6331648,191321.47,2621846.49
安安診所,臺中市,潭子區,中山路二段383號,04-25355526,220046.4339,2678644.637
安安診所,臺中市,北屯區,北屯路299-4號1樓,04-22304309,219120.6818,2673691.467
安安診所,基隆市,中山區,復興路328之4號,(02)24377799,323318.465,2782549.947
安安診所,高雄市,苓雅區,建國一路284號,07-7152609,180753.923,2503810.9
安安診所,花蓮縣,花蓮市,中華路270號,03-8327555,311052.089,2652414.695
安安試管永華婦幼診所,臺南市,安平區,華平里永華路二段516號1~2樓,06-2989909,165371.81,2543511.38
安成中醫診所,高雄市,楠梓區,清豐二路320號1樓、2樓,07-3551550,181105.072,2515124.282
安成診所,臺北市,松山區,富錦街497號,02  27624618,306902.5805,2772665.182
安旭診所,新北市,三峽區,文化路59號8樓之1,86723525,287597.3806,2758730.639
安竹診所,新竹市,北區,北大路369號2樓之1及之2,,246068.39,2744156.42
安佑家庭醫學科診所,臺南市,東區,崇德里崇善路438號1樓,06-3358868,170964.54,2541584.69
安坑振榕診所,新北市,新店區,安康路二段178號1樓,02-22126657,301650.8182,2761485.136
安妞美學診所,臺中市,太平區,中興路176號2、3樓,04-22766031,220875.7693,2668997.288
安妞美學診所,臺北市,中正區,羅斯福路1段133號2樓,23212669,302523.9011,2769210.583
安妞美學診所,臺南市,東區,龍山里崇學路269號2樓,06-2892528,170575.29,2542526.32
安妞美學診所,桃園市,桃園區,中正路1063號4樓,,280117.21,2767561.45
安妞美學診所,高雄市,左營區,華夏路345號1樓,07-5597088,177816.352,2508134.286
安妞美學診所,新竹市,東區,立鵬路156號1樓,,251147.92,2742721.67
安妞美學診所,新北市,林口區,文化三路二段55號2樓,02-26068735,287690.9491,2774648.893
安宏診所,臺中市,新社區,中興嶺85號1樓,25816299,229376.2493,2677574.339
安杏診所,南投縣,埔里鎮,中山路三段100號,049-2980445,246264.25,2651293.83
安男診所,嘉義市,東區,吳鳳北路251號,05 2224707,194124.471,2597559.437
安邑美學牙醫診所,臺中市,豐原區,豐原大道一段637號1樓、2樓,04-25346681,220038.9882,2681335.982
安里診所,新北市,八里區,中山路二段366號4樓,(02)2619-1912,290426.7438,2782273.082
安佳牙醫診所,雲林縣,古坑鄉,中山路258號,05 5822890,205194.74,2616245.19
安佳診所,雲林縣,斗六市,上海路237號1、2樓,05-5351618,203202.47,2623456.3
安兒康小兒專科診所,臺北市,松山區,敦化北路116號、118號、118號2樓,77287688,305349.1146,2771851.359
安卓牙醫診所,屏東縣,潮州鎮,公園路29號1樓,08-7898855,202475.55,2494826.26
安和中醫診所,臺南市,北區,北安路1段178號1樓,06-2519388,168893.55,2546480.78
安和中醫診所,高雄市,左營區,自由三路343號1、2樓,07-3593799,179295.919,2508407.438
安和中醫診所,嘉義市,西區,新厝里友忠路935之1號1樓,05-2331959,193080.804,2598591.006
安和牙醫診所,臺南市,東區,圍下里勝利路45-1號1樓,06-2758595,169782.12,2543374.26
安和牙醫診所,高雄市,左營區,後昌路597號一樓,3631730,178046.911,2512085.153
安和美牙醫診所,臺南市,安南區,安東里安和路1段176號1樓,06-2566670,169401.98,2547829.22
安和美醫美外科診所,臺北市,中山區,錦州街12號2樓之1,(02)2325-2227,302857.6411,2772554.497
安和復健科診所,新北市,中和區,安和路167號1、2樓,222428568,301069.1099,2765610.756
安和診所,苗栗縣,苑裡鎮,信義路1-11號1、2樓及1-10號2、3樓,0919-075659,214813.98,2703652.754
安和診所,花蓮縣,吉安鄉,吉安路1段36號,03-8570067,308490.81,2654217.607
安和醫療社團法人安和醫院,屏東縣,屏東市,崇蘭里自由路598號,08-7651828,196948.15,2509319.06
安定牙醫診所,新竹市,北區,金竹里金竹路150號,03-5314307,247185.45,2746285.87
安定診所,基隆市,中山區,安一路90號,(02)24213279,324185.448,2780557.492
安居牙醫診所,臺北市,大安區,安居街46巷1號,02-27351682,305927.2043,2768159.327
安居診所,臺北市,大安區,和平東路3段252號,27324000,306029.7635,2768288.876
安庚內科診所,新北市,新莊區,中安街1號1樓中港路306號3樓,22779000,295688.4845,2770867.469
安庚內科診所,桃園市,龜山區,南祥路46號2樓、50號1至2樓、54號2樓,03-3528088,280033.63,2770945.95
安怡牙醫診所,臺中市,清水區,文昌街40號,04 6227910,207009.9734,2685028.696
安怡診所,彰化縣,彰化市,成功里中山路2段55號及55之1號,04-7232389,203223.84,2662682.26
安昕診所,高雄市,三民區,大昌一路159.161.163號一樓,07-3832564,180614.72,2506189.8
安東耳鼻喉科診所,基隆市,仁愛區,仁二路二五一號一樓,(02)24266766,324896.811,2780338.474
安東診所,臺中市,東區,樂業路226號1樓,04-22155788,219398.4721,2670420.239
安東診所,臺北市,大安區,和平東路2段229號(1樓、2樓),02-23786111,304789.7731,2768672.466
安欣牙醫診所,臺南市,安南區,新順里安和路三段107號1樓,06-3561537,169823.69,2549612.75
安欣牙醫診所,新北市,新店區,安康路2段189號1樓、189號2樓、191號1樓、191號2樓,86668556,301426.7905,2761334.53
安欣牙醫診所,桃園市,蘆竹區,長春路94號1樓,03-3218599,280210.21,2771611.2
安欣耳鼻喉科診所,宜蘭縣,宜蘭市,中山路二段147號1樓,03-9320738,326325.693,2738012.306
安欣婦產科診所,臺中市,太平區,樹孝路6之2號1樓、2樓及6之3號1樓、2樓,04-22772966,221176.4909,2671629.025
安欣婦產科診所,臺東縣,臺東市,武昌街16號,089-320056,264472.93,2517615.4
安欣診所,新北市,板橋區,民族路228號1樓,02-2954-2598,297319.3969,2766666.264
安欣診所,屏東縣,東港鎮,明德一路328號,08-8330810,194465.44,2485975.1
安河神經內科診所,臺南市,安南區,安和里安和路一段40號1樓,06-3357513,169599.43,2547452.61
安泓耳鼻喉專科診所,彰化縣,溪湖鎮,光平里彰水路三段492號1、2樓、光平里彰水路三段492-1號2樓,04-8828119,197094.9,2651154.39
安泓神經科診所,彰化縣,溪湖鎮,光平里彰水路三段492號1、2樓、光平里彰水路三段492-1號2樓,04-8828119,197094.9,2651154.39
安法診所,臺北市,大安區,敦化南路二段97號27樓,223250505,305422.2691,2769092.35
安芯診所,臺南市,麻豆區,?江里民權路43-3號1樓,06-5727629,173381.19,2564630.09
安信牙醫診所,臺北市,大安區,大安路1段189號、191號2樓,27010470,305107.756,2769850.505
安信牙醫診所,臺中市,北屯區,東山路1段225號,04-24373548,221071.4755,2674385.954
安信牙醫診所,新北市,板橋區,文化路一段355號1、2樓,02 2569616,297090.7622,2768195.814
安信牙醫診所,彰化縣,彰化市,東民街53號1樓2樓,04-7271307,203790.23,2663523.2
安信牙醫診所,基隆市,安樂區,樂利三街124之1號2樓,(02)24300948,322162.329,2779969.796
安信牙醫診所,屏東縣,東港鎮,中山路16鄰1-9號,08. 8339342,202359.45,2525170.54
安信星曜牙醫診所,新北市,板橋區,陽明街16號1、2樓,02-22596888,297083.9895,2768272.133
安信診所,宜蘭縣,礁溪鄉,中山路一段230號1樓,03-9888001,327933.023,2746131.123
安南中醫診所,臺南市,安南區,溪心里安中路二段166、168號1-3樓,,166720.98,2549668.48
安南內科診所,臺南市,安南區,溪心里安中路二段300號6、7樓,2473733、0937076941,166495.55,2549724.66
安南高家醫診所,臺南市,安南區,溪心里安中路二段166、168號1-3樓,06-2475699,166720.98,2549668.48
安品牙醫診所,臺中市,北屯區,青島路四段二一七之一號,04-22313268,218703.4561,2673499.782
安律診所,臺中市,西屯區,黎明路二段882號1樓、2樓,04-22533777,212859.5716,2673208.427
安政牙醫診所,臺北市,內湖區,文德路二十二巷四十一號,02-26570847,308534.8859,2774343.209
安星診所,新北市,瑞芳區,明燈路3段37號1樓,02 4976970,331385.2814,2777945.894
安昱診所,臺中市,南屯區,公益路二段360號1樓、2樓,04-22580726,213017.7488,2671852.1
安柏中醫診所,高雄市,前鎮區,民權二路180號2樓,3350802,179222.047,2500943.94
安珀琢玉醫美診所,臺北市,信義區,信義路五段55號2樓、57號2樓,87893999,307449.1861,2769589.471
安美中醫診所,嘉義市,東區,博東路303號1樓,2774599,194557.47,2598695.25
安美中醫診所,新北市,三重區,文化北路97號1樓,(02)8985-1238,300256.1481,2773416.159
安美牙醫診所,臺北市,中山區,明水路653號,85095009,305557.8205,2775108.176
安美牙醫診所,彰化縣,彰化市,中山路一段338號,04-7515851,202731.64,2661786.16
安美皮膚科耳鼻喉科專科診所,桃園市,桃園區,中正路882之1號1、2樓,(03)3565268,280384.89,2767089.65
安美皮膚科診所,新北市,蘆洲區,中正路125號1樓,02-82823116,297355.3054,2775210.802
安胃診所,新北市,板橋區,中山路二段232號1、2樓,02-89512345,298279.5682,2767856.327
安若牙醫診所,臺北市,大安區,忠孝東路4段218號4樓,02-23631699,305835.9196,2770456.933
安英診所,新北市,汐止區,福德二路116號1樓,26927939,313752.2889,2773216.507
安倍診所,新北市,新店區,中正路132號1樓,02 89119181,304728.5672,2762721.084
安卿牙醫診所,高雄市,鹽埕區,新興街93號一樓,5516982,176137.174,2503095.917
安娜貝爾整形外科診所,桃園市,中壢區,民權路356及358號,03-4950565,271954,2761756.81
安家小兒科診所,臺中市,西屯區,大福里大鵬路9號1樓,04-22952020,216279.4605,2674780.222
安家診所,臺中市,新社區,中興嶺85號1樓,04-25816299,229376.2493,2677574.339
安家診所,嘉義市,東區,台林街221號,05-2775367,194353.41,2599492.69
安徒生牙醫診所,新竹市,東區,武功里建功一路87號,03-5749385,249610.01,2743797.46
安悅美學牙醫診所,臺北市,松山區,南京東路4段77號1樓,2545-3789,305885.2284,2771632.832
安悅診所,高雄市,前鎮區,梧州街66號,929827162,179614.57,2501807.53
安泰中醫診所,臺中市,北屯區,昌平路一段105之10號1樓,04-22421172,218535.3614,2674308.937
安泰中醫診所,桃園市,大溪區,員林路二段384號1樓,03-3801327,277074.47,2752993.17
安泰中醫診所,彰化縣,彰化市,民族路538號,04-7274810,203318.1,2663758.84
安泰牙醫診所,高雄市,橋頭區,成功南路148巷2號,07 6120410,179483.412,2517017.35
安泰牙醫診所,臺中市,南屯區,黎明路一段一○九六號,04 3812446,211966.0375,2667510.144
安泰牙醫診所,臺南市,永康區,崑山里永華路26號,06 2718568,174074.93,2545202.1
安泰牙醫診所,基隆市,仁愛區,愛三路14號,(02)24291828,324825.53,2780083.88
安泰牙醫診所,南投縣,南投市,中山街14巷17號,2201703,218137,2644625
安泰牙醫診所,苗栗縣,頭份市,和平路109號1樓,037-695558,240483.528,2730977.708
安泰耳鼻喉科診所,桃園市,蘆竹區,中山路93號,33118478,280118.41,2771935.32
安泰家庭醫學科診所,雲林縣,古坑鄉,古坑村中山路81號,05 5822020,205326.14,2615629.6
安泰淞鶴診所,新北市,板橋區,信義路219號1樓,02-29560019,296397.3235,2764917.009
安泰眼科診所,嘉義市,西區,仁愛路482號1、2樓,05-2282278,193024.652,2597121.79
安泰診所,臺中市,潭子區,潭興路三段85號1樓,04-25352796,219784.568,2678478.991
安泰診所,臺南市,鹽水區,橋南里月津路27號1樓,06-6527222,174995.09,2579425.86
安泰診所,新北市,樹林區,中山路一段123號1、2、3、4、5樓,02-26816246,292679.3102,2764754.05
安泰診所,高雄市,岡山區,岡山路434號4樓﹝5B﹞,6233500,177711.73,2521871.92
安泰診所,南投縣,埔里鎮,中正路460號,049-2987289,246530.87,2651335.72
安泰診所,花蓮縣,花蓮市,林森路195-1號1樓,03-8316626,311106.651,2652753.163
安泰診所,彰化縣,北斗鎮,三民街二之七號,04-8885977,201559.193,2640620.986
安泰診所,彰化縣,北斗鎮,三民街二之七號,04-8885977,201559.193,2640620.986
安泰醫院,高雄市,小港區,學府路111號,07 8017856,184329.977,2496281.978
安泰醫療社團法人安泰醫院,屏東縣,東港鎮,中正路一段210號,08-8329966,194340.91,2486176.06
安泰醫療社團法人潮州安泰醫院,屏東縣,潮州鎮,三星里四維路162及193號,8.7800888,203386.62,2494986.39
安祐診所,新北市,中和區,景新街401號1樓、2樓,286681070,301753.334,2764737.706
安祐診所,桃園市,蘆竹區,忠孝西路192號1樓,03-2229191,279168.26,2770227.49
安健家醫科婦產科診所,臺東縣,太麻里鄉,泰和村外環路76號,089-780720,250674.403,2501274.078
安基診所,基隆市,仁愛區,愛五路三十四號五樓,(02)24272345,325223.89,2780257.87
安康中醫診所,臺中市,北屯區,遼寧路一段193號1樓,04-22433541,219168.4019,2674791.695
安康中醫診所,臺南市,仁德區,保安里文賢路1段526號1樓,06-2667104,171107.76,2536988.49
安康中醫診所,新北市,新店區,安康路2段175號1樓,86665679,301470.3335,2761354.751
安康中醫診所,桃園市,蘆竹區,南順七街27號1樓,03-3227976,279319.39,2770136.82
安康牙醫診所,新北市,新店區,安忠路8號1樓,02  22112552,301967.4624,2761794.315
安康耳鼻喉科診所,臺南市,北區,成功里海安路3段718號1樓,06-2525889,168063.75,2546165.63
安康耳鼻喉科診所,桃園市,中壢區,復興路54號1樓,4271212,272719.1,2761071.23
安康骨科診所,桃園市,蘆竹區,仁愛路一段22號1樓、22號2樓之2,03-3124790,279668.5,2771418.28
安康復健科診所,臺北市,中山區,松江路54號2樓,(02)2567-9275,303755.3214,2771275.43
安康診所,臺中市,和平區,東關路三段151-9號,25942206,238273.998,2674359.563
安康診所,新竹縣,新埔鎮,下寮里義民路3段156巷90弄68號,5882888,254339.97,2748740.44
安康診所,彰化縣,二水鄉,員集路四段54號,04-8797279,210838.563,2634295.576
安康診所,臺東縣,綠島鄉,中寮村中寮路26號,089-672888,298441.729,2508251.307
安康診所,金門縣,烈嶼鄉,東林街163號,082-364955,-29201.6853,2705239.309
安康診所,屏東縣,滿州鄉,中山路40號,0932632158..08.8801928,220476.89,2441706.1
安康診所,苗栗縣,卓蘭鎮,上新里上新7-1號,04-25899369,232740.92,2689054.64
安康診所,南投縣,名間鄉,員集路93號,049-2730089,219808,2636809.66
安捷幸福診所,桃園市,蘆竹區,吉林路12號1樓,03-4630711,279898.61,2771451.97
安捷診所,高雄市,三民區,信國路3號1~4樓,07-3965399,182047.785,2505322.6
安曼牙醫診所,臺北市,大安區,復興南路1段135巷27號8樓之3,02-27752995,305043.7689,2770626.107
安祥皮膚科診所,高雄市,岡山區,岡山路97號、99號1樓,6295859,177723.3,2521216.32
安祥婦產科診所,新北市,土城區,學府路1段59號1樓,222653653,296170.0179,2764560.158
安笙婦產科診所,臺中市,西屯區,西屯路二段82號,04-23146240,215195.0522,2673359.251
安琪兒牙醫診所,新北市,新店區,中央路216-1號2樓,02-22180816,303489.2985,2762961.333
安舜診所,高雄市,楠梓區,後昌路781號1樓,07-3642666,177665.686,2512379.165
安順內科中醫診所,高雄市,三民區,九如一路18號,07 3843614,182563.261,2504183.896
安順診所,高雄市,前鎮區,后安路263號1樓.2樓.3樓,07-8128320,180149.407,2497055.716
安慎健康管理診所,新竹市,北區,水田里演藝路23號1樓、地下1樓及25號1樓、27號1樓,03-5353085,246703.28,2744832.67
安慎診所,新竹縣,竹東鎮,長安路113號,03-5951011,259254.984,2736508.825
安慎診所,新竹市,東區,中央路128號,03-5359779,247060.68,2744393.3
安新診所,臺中市,清水區,西寧路155號1、2樓,04-26234416,206944.2622,2685383.738
安新診所,新北市,新莊區,中正路一四五之二二號一樓、二樓,02 89931172~3,296235.3421,2769998.3
安歆診所,新北市,板橋區,光正街5號1樓,02-8969-7603,296738.2332,2767737.504
安瑟美皮膚科診所,臺北市,大安區,安和路1段113號2樓,(02)7709-9396,305777.1361,2769791.096
安瑟美膚整形外科診所,臺北市,大安區,安和路1段113號2樓之1,77093933,305777.1361,2769791.096
安鈺牙醫診所,新竹縣,新豐鄉,新興路117號1樓,5595241,249262.296,2751002.39
安嘉診所,桃園市,龍潭區,中正路173號1樓,03 4893715,271935.76,2750958.1
安榮診所,臺中市,大甲區,民生路18號1樓,04-26801295,212098.9379,2693490.906
安德中醫診所,臺中市,大里區,文隆街30號,04-24876749,217799.16,2666967.4
安德中醫診所,臺北市,文山區,景福街228號,2931-6698,304408.269,2765196.665
安德中醫診所,高雄市,前鎮區,光華二路58號1樓,07-7168189,179795.624,2501183.834
安德中醫診所,臺南市,歸仁區,仁愛南街176號1樓,06-3301006,178275.76,2540272.4
安德牙醫診所,高雄市,鳳山區,中山西路27號1-2樓,07-7452123,183622.67,2503058.26
安德牙醫診所,臺北市,大安區,復興南路一段九十二之四號之一樓,227513978,304847.1597,2770699.2
安德牙醫診所,新北市,新莊區,中港三街3號1樓,229968211,295534.3041,2771004.862
安德生牙醫診所,高雄市,前金區,七賢二路343號1~~2樓,07 2913269,176979.242,2503586.924
安德眼科診所,嘉義市,西區,志昇街47號,987533271,193194.61,2596342.6
安德復復健專科診所,臺北市,松山區,光復北路181號地下二層,02-7729-2289,306033.2397,2772362.711
安德森整形外科診所,臺北市,松山區,復興北路337號3樓,27123373,304936.767,2772557.928
安德診所,臺中市,神岡區,中山路737號,04 25613730,217346.0854,2682693.137
安德診所,雲林縣,虎尾鎮,公安里26鄰公安路178-18號4、5、6樓,05-6326033,192266.8,2623004.99
安德霖牙醫診所,高雄市,鳳山區,新富路446號,7672942,182751.96,2501570.2
安德聯合診所,臺北市,松山區,八德路三段34號4樓及12樓,225705886,305699.8657,2771216.628
安慧診所,桃園市,桃園區,春日路108號1-3樓,3356965,281961.59,2765212.17
安慶中醫診所,臺南市,安平區,平安里民權路四段21號,06-2806082,166535.79,2544392.12
安慶中醫診所,高雄市,前鎮區,凱旋四路338號,07-8413893,179356.978,2499480.045
安慶中醫診所,新北市,新店區,安康路三段51號1樓,02-22152889,299745.9827,2760597.815
安慶中醫診所,桃園市,桃園區,國際路一段1214號1樓,(03)2200700,279166.05,2764652.71
安慶牙醫診所,新北市,三重區,重陽路一段113巷19號1樓,(02)8983-8333,299241.0175,2772489.373
安慶診所,新北市,板橋區,互助街77巷1號(1樓),02-2259-3168,296446.9164,2768746.15
安潔牙醫診所,臺中市,沙鹿區,中山路182號1樓,04-26657220,205690.4124,2681398.067
安潔牙醫診所,新北市,永和區,大新街14號1樓,22318855,301980.1348,2766812.441
安澐診所,臺北市,大安區,復興南路2段150號(1樓),(02)27007800,304825.8724,2769004.717
安膚診所,新北市,三峽區,民權街8號1樓,02-26712282,287391.2221,2758599.636
安誼牙醫診所,高雄市,三民區,察哈爾二街81號1樓,07-3236116,178092.444,2505441.967
安誼牙醫診所,嘉義市,東區,嘉北街24號1樓,05-2763757,194414.194,2599076.649
安賢中醫診所,雲林縣,斗六市,上海路136號1樓,05-5362968,202960.45,2623268.74
安適牙醫診所,臺中市,北屯區,大連路二段247號1樓,04-22417211,218410.566,2674527.405
安穆美學診所,臺中市,南屯區,大業路379號1、2樓,04-22510030,213968.9883,2672061.82
安興中醫診所,新竹縣,竹北市,三民路407號,5553718,250953.06,2747433.14
安興牙醫診所,臺中市,南區,美村南路181號,04 22615112,216113.4122,2667862.135
安興牙醫診所,新北市,汐止區,康寧街411號1樓,02-26956622,313559.1792,2773458.121
安興診所,臺中市,太平區,興隆路一段248號1樓,04-22705412,222602.58,2667497.13
安興診所,臺北市,萬華區,桂林路101號(實際營業地址1、2樓),23111636,300573.0921,2770138.829
安興精神科診所,新北市,三重區,重新路三段132號1樓,(02)2974-3029,299607.7896,2772490.078
安諾婦產科診所,新北市,新莊區,龍安路98號1、2樓,02-29027765,292180.8182,2768135.124
安諾診所,臺北市,大安區,忠孝東路4段176之1號6樓,77115566,305631.3313,2770461.779
安濟診所,新北市,樹林區,中華路162號,02-86841966,291973.5098,2763671.156
安聯診所,臺南市,白河區,白河里富民路62號,06-6852555,190280.44,2582588.18
安聯診所,嘉義縣,民雄鄉,東榮村建國路一段211號1.2.3樓,05-2265104,192175.68,2606254.35
安聲中醫診所,桃園市,龍潭區,中正路一七一號,03-4803913,271934.5,2750963.33
安聲耳鼻喉科診所,臺中市,大里區,大里路98之5號1樓,04 24852301,218141.6663,2666646.425
安薪牙醫診所,臺北市,文山區,興隆路四段68號1樓,29383156,306678.7402,2764214.516
安鴻診所,南投縣,國姓鄉,中興路130號1樓,049-2722778,235408.32,2659602.14
安麗小兒科內科診所,南投縣,埔里鎮,中山路二段262號,049-2991030,246801,2651310.4
安麗牙醫診所,臺北市,大安區,和平東路3段99號暨103之1號,02-2736-9454,305603.8811,2768615.883
安麗牙醫診所,臺中市,西區,五權西路一段120號1樓,04-23720823,215531.8591,2670605.403
安麗牙醫診所,苗栗縣,苑裡鎮,客庄里10鄰中正路1段6號1樓,866222,214859.495,2703578.358
安麗牙醫診所,南投縣,草屯鎮,山腳里新富路159號,049-2319519,217779.84,2651652.99
安麗整形外科診所,臺北市,大安區,復興南路1段215號6樓,8772-2366,304889.1527,2770225.899
安瀾診所,基隆市,中正區,中正路197號(1F),(02)24623389,326701.961,2781808.288
安馨大溪診所,桃園市,大溪區,慈康路155巷15弄25號1、2、3樓,03-3887431,279301,2751391.89
安馨中醫診所,桃園市,中壢區,新中北路57號1樓,(03)4386930,273840.39,2761041.44
安馨牙醫診所,臺中市,太平區,育賢路143號1、2、3樓,04-23911815,221633.024,2672539.236
安馨牙醫診所,南投縣,草屯鎮,虎山路677號1、2樓,049-2336637,218049.84,2652046.66
安馨民雄診所,嘉義縣,民雄鄉,民生路51號1~4樓,05-2269303,191949.97,2606154.57
安馨竹山內科診所,南投縣,竹山鎮,集山路三段483號,049-2630208,218731.32,2628570.39
安馨婦產科診所,新北市,蘆洲區,民族路203號1樓,(02)22827458,298239.0695,2775751.539
安馨楠梓內科診所,高雄市,楠梓區,楠都東街207號1樓、209號1-2樓,07-3529393,180842.688,2514152.061
安馨嘉義內科診所,嘉義市,西區,友愛路239號1、2樓,2812525,192137.28,2597987.963
安馨彰美內科診所,彰化縣,彰化市,信義里中正路一段432號1、2、3、6樓,04-7288367,203487.99,2664251.18
尖端牙醫診所,臺中市,南屯區,公益路二段605號1、2樓,04-22518558,212894.8217,2671792.731
尖端牙醫診所,新竹市,東區,光復路二段272號二樓,03-5714800,249919.64,2743081.17
尖端診所,臺北市,大安區,敦化南路二段一六八號十一樓,23789734,305341.0549,2768567.147
年代牙醫診所,臺北市,內湖區,康寧路3段56巷11號1樓,26308008,311532.9243,2773751.561
成大牙醫診所,高雄市,鳳山區,新富路600號,07 7639733,183087.27,2501918.33
成大信安骨外科診所,臺南市,麻豆區,東角里文昌路14之3號1、2樓,06-5718222,173438.22,2564875.12
成大崑山骨外科診所,臺南市,永康區,建國里復興路31號,06-2711443,173087.38,2544312.57
成功中醫診所,臺北市,信義區,莊敬路432號,02-87805027,307199.8943,2768887.975
成功中醫診所,高雄市,苓雅區,建國一路206號1樓,07-7226610,180973.14,2503818.898
成功中醫診所,雲林縣,西螺鎮,平和路185號,55862304,194837.73,2633043.64
成功牙醫診所,桃園市,桃園區,成功路二段88號1樓,(03)3356847,281930.44,2765131.28
成功牙醫診所,雲林縣,斗六市,仁愛里成功路92號之1,55322462,203608.29,2622705.42
成功牙醫診所,花蓮縣,吉安鄉,和平路一段85號1樓,,310138.917,2653137.926
成功皮膚科診所,臺北市,內湖區,成功路3段162之1號1樓、164號1樓、164之1號1樓、166之1號1樓,27940064,309544.7475,2774809.383
成功耳鼻喉科診所,臺北市,內湖區,成功路3段162之1號1樓、164號1樓、164之1號1樓、166之1號1樓,227940064,309544.7475,2774809.383
成功美學皮膚專科診所,桃園市,桃園區,成功路二段87號1、2樓,03-3358865,282005.33,2765184.96
成功馬光中醫診所,臺南市,東區,大學里長榮路三段121號1、2樓,06-2355366,170204.6,2543936.45
成功眼科診所,臺北市,內湖區,成功路四段28號4樓之2,227933544,309666.0963,2774939.959
成功復健科診所,臺北市,內湖區,成功路3段162之1號1樓、164號1樓、164之1號1樓、166之1號1樓,02-27938098,309544.7475,2774809.383
成功朝順中醫診所,臺南市,北區,西門路4段21號、23號及25號1樓,06-2817589,168618.24,2545272.99
成功診所,臺中市,豐原區,成功路265號1樓,04 25250073,220295.15,2682395.49
成功診所,新竹縣,湖口鄉,成功路346、348號1至4樓,03-5990822,254050.585,2754727.422
成功診所,屏東縣,新埤鄉,新埤村中正路85號,08-7971006,203757.87,2485671.27
成功嶺診所,臺中市,烏日區,中山路三段502號1樓,04-23388729,209380.0616,2667387.645
成功濟世中醫診所,高雄市,苓雅區,青年二路149號1樓,07-2691722,177589.65,2502117.85
成民內科診所,新竹市,東區,科園里科學園路5號1、2、3樓,03-5787556,251025.05,2742139.63
成合牙醫診所,新北市,汐止區,新台五路二段六號,26435978,316609.7706,2773129.139
成安牙醫診所,新北市,土城區,裕民路181號1樓,222665737,295778.6137,2764158.149
成安牙醫診所,南投縣,埔里鎮,忠孝路353號,049-2999802,247540.25,2651159.53
成安耳鼻喉科診所,臺北市,內湖區,成功路四段61巷10號,27935940,309794.3458,2774958.172
成安診所,新北市,板橋區,重慶路308巷2號1樓,02-29588182,296788.3562,2765639.751
成杏牙醫診所,臺南市,東區,裕農里東寧路458號,06 2377565,171001.24,2543316.05
成典牙醫診所,彰化縣,鹿港鎮,頂番里頂草路一段106108號,04-7716761,197087.8,2664973.12
成長空間診所,臺北市,大安區,敦化南路一段236巷29號,87723601,305135.6349,2770392.133
成品牙醫診所,臺北市,信義區,莊敬路322號3樓,223458181,306854.708,2769001.833
成品牙醫診所,新北市,永和區,成功路二段88號1樓,02-29330119,303152.4051,2765729.308
成春中醫診所,宜蘭縣,宜蘭市,康樂路九十號,03-9322606,326595.02,2738915.49
成洲診所,新北市,五股區,凌雲路一段七十三號,222919463,295486.5761,2777052.478
成美中醫診所,桃園市,平鎮區,廣德街22號1、2樓,4014733,270682.78,2760956.22
成美牙醫診所,臺南市,永康區,南灣里大灣一街12號1、2樓,06 2735113,174204.82,2544795.11
成美牙醫診所,新北市,蘆洲區,重陽街62號1樓,02-82828241,298596.9172,2775155.238
成美牙醫診所,基隆市,仁愛區,仁四路14號,(02)24221123,324892.761,2780125.814
成美皮膚科診所,臺中市,北區,三民路三段210之2號,04-22247787,218083.8553,2672071.642
成美診所,臺南市,永康區,五王里中山南路166號1-2樓,06-3039028,171296.6,2546014.69
成美整形外科診所,新竹市,東區,中正路57號3樓,(03) 5220668,246957.19,2744144.5
成美醫院,彰化縣,彰化市,三民路56號、77號1-2樓,04-7273127,203277.6,2664382.13
成美麗人診所,臺南市,東區,忠孝里崇明路80號1、2樓,06-2890861,169717.46,2542315.77
成泰中醫診所,新北市,五股區,成泰路三段515號1樓,22924990,295526.5969,2776998.232
成泰牙醫診所,雲林縣,斗六市,中華路222號1樓,05-5337289,203836.99,2622814.08
成泰診所,新北市,新莊區,新泰路70號1樓,29945994,295328.0091,2769726.523
成真美學牙醫診所,桃園市,中壢區,中華路一段227號1樓及2樓,03-4351886,276147.09,2762816.31
成祐中醫診所,臺中市,西區,公益路152之1號2樓、152之3號2樓部分,,215385.7651,2671793.856
成眼科診所,高雄市,小港區,漢民路279號,07 8063031,183515.534,2496482.084
