綠化單元代碼,設置年度,縣市,綠化單元名稱,基地地址,緯度,經度,緯度,經度,TWD97X,TWD97Y,基地面積(公頃),基地長度(公里),基地長度換算面積(公頃),補助單位,基地類型,基地類型(校正),維運單位類型,列管狀態,管理單位,地址,聯絡人,聯絡電話,認養單位,認養期限,迄今認養年度,喬木總數量(株),本年度之建議樹種增植數量(株),年度,獎項名稱,,
apr-171,91,苗栗縣,後龍鎮海寶里苗九線道路綠化工程,356苗栗縣後龍鎮海寶里5鄰網絃59-1,24.663224,120.823425,24.6632,120.8234,232125.69,2728485.32,0.037,-,-,環保局,裸露地綠化,空地/裸露地綠化,自行維運,未解列,後龍鎮公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,東和鋼鐵,民國116年9月30日,第2年,-,-,-,-,,
apr-172,-,苗栗縣,後龍鎮溪洲里綠美化〈伍興宮〉,伍興宮旁,24.618765,120.780803,24.6188,120.7808,227806.14,2723573.93,0.053,-,-,環保局,裸露地綠化,空地/裸露地綠化,自行維運,未解列,後龍鎮公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,溪洲社區發展協會,民國114年9月26日,第2年,-,-,-,-,,
apr-173,88,苗栗縣,苗栗市北苗里站後廣場香格停車場綠美化,英才夜市對面停車場,24.570244,120.820937,24.5702,120.8209,231859.25,2718185.30,0.362,-,-,環保局,裸露地綠化,空地/裸露地綠化,自行維運,未解列,苗栗市公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,-,-,-,-,-,-,-,,
apr-174,88,苗栗縣,苗栗市褔星國小週邊綠美化,360苗栗縣苗栗市中華東街62號,24.579469,120.825396,24.5795,120.8254,232316.35,2719214.74,-,0.193,0.019,環保局,道路綠化,道路綠化,自行維運,未解列,苗栗市公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,-,-,-,-,-,-,-,,
apr-175,88,苗栗縣,苗栗市中華路台肥段綠美化,中華路段,24.589405,120.824903,24.5894,120.8249,232267.10,2720311.29,-,0.546,0.055,環保局,道路綠化,道路綠化,企業認養,未解列,苗栗市公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,台灣肥料股份有限公司苗栗廠,民國115年10月31日,連續4年,-,-,-,-,,
apr-176,90,苗栗縣,苗栗市鐵路高架橋段綠美化,北賢旅行社有限公司旁公園,24.561335,120.821298,24.5613,120.8213,231898.48,2717199.52,0.108,-,-,環保局,裸露地綠化,空地/裸露地綠化,自行維運,未解列,苗栗市公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,苗栗市中苗社區發展協會,民國117年10月31,-,-,-,-,-,,
apr-177,96,苗栗縣,苗栗市經國路新東橋下高灘地綠美化栽植工程,新東橋下,24.5469164,120.8282932,24.5469,120.8283,232605.57,2715603.74,1.367,-,-,環保局,道路綠化,道路綠化,企業認養,未解列,農業局,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,-,-,-,-,-,-,-,,
apr-178,96,苗栗縣,苗栗市經國路扶輪公園綠美化栽植工程,苗栗縣苗栗市經國路二段485號旁,24.5568951,120.8358329,24.5569,120.8358,233366.69,2716710.37,-,0.471,0.047,環保局,道路綠化,道路綠化,自行維運,未解列,農業局,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,-,-,-,-,-,-,-,,
apr-179,88,苗栗縣,通霄鎮舊鐵道綠美化工程,海濱路平交道旁,24.489745,120.67665,24.4897,120.6767,217232.49,2709296.06,0.220,-,-,環保局,裸露地綠化,空地/裸露地綠化,志工及企業認養,未解列,通霄鎮公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,"1.台灣電力股份有限公司通霄發電廠
2.通西里辦公處","民國117年5月9日
民國116年10月31日",1.連續6年、2.連續5年,-,-,108~111,106年企業團體優勝獎、107年企業團體特優獎、108年卓越貢獻獎、109年特殊貢獻獎、110年特殊貢獻獎、111年服務模範獎,,
apr-180,91,苗栗縣,通霄鎮通南里空氣品質淨化區設置工程,通南社區活動中心(新設)旁公園,24.48432,120.671473,24.4843,120.6715,216704.03,2708699.23,0.407,-,-,環保局,裸露地綠化,空地/裸露地綠化,志工及企業認養,未解列,通霄鎮公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,-,-,-,-,-,-,-,,
apr-181,90,苗栗縣,苗14線(台一線至台十三線路段)空氣品質淨化區造景計劃,中油造橋站(直營)旁,24.638838,120.863283,24.6388,120.8633,236161.43,2725778.25,-,0.057,0.006,環保局,道路綠化,道路綠化,自行維運,未解列,造橋鄉公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,造橋社區發展協會,民國114年9月26日,第2年,-,-,-,-,,
apr-182,88,苗栗縣,造橋鄉長安綠景計劃,造橋巡守隊前方涼亭,24.644215,120.869753,24.6442,120.8698,236820.01,2726375.70,-,0.2,0.020,環保局,道路綠化,道路綠化,自行維運,未解列,造橋鄉公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,造橋社區發展協會,民國114年9月26日,第2年,-,-,-,-,,
apr-183,88,苗栗縣,頭份鎮東興環保公園綠美化工程,頭份幼兒園旁公園,24.678231,120.908456,24.6782,120.9085,240740.08,2730138.27,1.167,-,-,環保局,裸露地綠化,空地/裸露地綠化,自行維運,未解列,頭份鎮公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,-,-,-,-,-,-,-,,
apr-184,91,苗栗縣,明德社區及苗126線空氣品質淨化區造景計劃,明德水庫牌樓前,24.58699,120.883081,24.5870,120.8831,238160.97,2720039.23,-,0.295,0.030,環保局,道路綠化,道路綠化,自行維運,未解列,頭份鎮公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,頭屋鄉明德村辦公室,民國119年10月31日,-,-,-,-,-,,
apr-185,90,苗栗縣,頭屋鄉公用停車場空氣品質淨化區造景計劃,頭屋鄉藝文廣場停車場,24.57685,120.85157,24.5769,120.8516,234969.60,2718923.67,0.095,-,-,環保局,裸露地綠化,空地/裸露地綠化,自行維運,未解列,頭份鎮公所,?351苗栗縣頭份市中山路232號,胡先生,037-663038#1602,-,-,-,-,-,-,-,,
apr-186,85,臺中市,公91(潮洋環保公園),朝貴路、市政北二路及環河路交界處,24.165889,120.633472,24.1659,120.6335,212759.49,2673445.04,2.700,-,-,環境部,環保公園,環保公園,企業認養,未解列,臺中市養護工程處(公園景觀維護科),-,張艮瑋,2228-9111#33518,總茂環保股份有限公司,民國113年12月31日,7,390,-,-,-,,
apr-187,85,臺中市,公79(惠來公園),惠中路二段與市政南二路及文心一路交界處,24.15475,120.640806,24.1548,120.6408,213498.11,2672213.78,2.120,-,-,環境部,環保公園,環保公園,志工及企業認養,未解列,臺中市養護工程處(公園景觀維護科),-,張艮瑋,2228-9111#33518,"惠來社區發展協會 
宏全國際股份有限公司",民國113年12月31日,"7
3",246,-,-,-,,
apr-188,92,臺中市,七期重劃區公有地裸露地表綠美化(惠國段76地號)(公1-3綠地),市政路與惠文路及市政北一路交界處,24.157778,120.644528,24.1578,120.6445,213874.95,2672545.07,1.260,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,志工認養,未解列,臺中市養護工程處(公園景觀維護科),-,張艮瑋,2228-9111#33518,惠來社區發展協會 ,民國113年12月31日,4,166,-,-,-,,
apr-189,86,臺中市,文山環保生態教育園區,文山南巷接環場道路周邊,24.156889,120.585056,24.1569,120.5851,207838.50,2672462.00,15.000,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,企業認養,未解列,臺中市環保局環境設施大隊,-,林奕誠(現場:劉麗雪),"2384-9005 e.212
劉麗雪:
0928-980722",永鑫能源股份有限公司,民國113年12月31日,3,387,-,-,-,,
apr-190,100,臺中市,寶文段0651地號廢棄物棄置場綠化,臺中市垃圾衛生掩埋場肥料發酵場旁,24.153972,120.599167,24.1540,120.5992,209270.42,2672136.65,0.970,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,企業認養,未解列,臺中市環保局環境設施大隊,-,陳泰佑,0923-180011,永鑫能源股份有限公司,民國113年12月31日,3,427,-,-,-,,
apr-191,96,臺中市,陳平營區空氣品質淨化區設置(清淨園區),臺中市北屯區中平路987號(后庄路過中清路接貿易巷與中平路交叉口),24.186639,120.660389,24.1866,120.6604,215498.42,2675730.69,2.190,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,臺中市環保局清潔管理科(北屯東清潔隊),-,游文麟,24256083,新平里辦公處,民國113年12月31日,3,76,-,-,-,,
apr-192,94,臺中市,軍功公園,軍功路二段與松竹路一段及軍福路交界處,24.181497,120.720467,24.1815,120.7205,221603.17,2675152.34,0.690,-,-,環保局,環保公園,環保公園,志工認養,未解列,臺中市養護工程處(公園景觀維護科),-,許弘杰,2228-9111 e.33523,北屯區軍功里里辦公處,民國113年12月31日,4,183,-,-,-,,
apr-193,94,臺中市,十期重劃區公有裸露地綠化(兒1-1)(石頭公公園),松竹一路及正道街交叉口,24.180389,120.724083,24.1804,120.7241,221968.69,2675029.79,0.273,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,北屯區公所公用課,-,劉承榮,2460-6151,北屯區和平里辦公處,民國113年12月31日,11,53,-,-,-,,
apr-194,94,臺中市,十期重劃區公有裸露地綠化(公21)(景福公園),軍福十一路與景賢二路交叉口,24.171722,120.717056,24.1717,120.7171,221255.54,2674067.68,0.640,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,北屯區公所公用課,-,劉承榮,2460-6151,"北屯區水景里辦公處
北屯區水景社區發展協會",民國113年12月31日,"4
4",99,-,-,-,,
apr-195,94,臺中市,十期重劃區公有裸露地綠化(兒1-3)(原住民公園),景賢路與景賢三路交叉口,24.167944,120.715861,24.1679,120.7159,221132.76,2673647.08,0.576,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,志工及企業認養,未解列,北屯區公所公用課,-,劉承榮,2460-6151,"北屯區水景里辦公處
北屯區水景社區發展協會
台灣美光記憶體股份有限公司",民國113年12月31日,"12
6",94,-,"108
109","特優
佳作",,
apr-196,94,臺中市,三甲公園,旱溪東路與景賢路交叉口,24.166583,120.707222,24.1666,120.7072,220248.45,2673504.92,0.680,-,-,環保局,環保公園,環保公園,志工認養,未解列,北屯區公所公用課,-,劉承榮,2460-6151,"北屯區水景里辦公處
北屯區水景社區發展協會",民國113年12月31日,"4
4",126,-,-,-,,
apr-197,94,臺中市,景美公園,旱溪東路與軍福十八路交叉口,24.178011,120.711478,24.1780,120.7115,220687.98,2674766.57,0.600,-,-,環保局,環保公園,環保公園,志工認養,未解列,北屯區公所公用課,-,劉承榮,2460-6151,"北屯區水景里辦公處
北屯區水景社區發展協會",民國113年12月31日,"6
4",133,-,-,-,,
apr-198,94,臺中市,三分埔公園(公兼兒二公園),崇德五路與崇德六路及河北路三段交界處,24.180194,120.685111,24.1802,120.6851,218006.23,2675016.01,0.880,-,-,環保局,環保公園,環保公園,企業認養,未解列,臺中市政府建設局養護工程處(公園景觀維護科),-,許弘杰,2228-9111 e.33523,新天地國際實業(股)公司,民國113年12月31日,9,281,-,-,-,,
apr-199,94,臺中市,仁德公園,崇德十路與后庄路交叉口,24.191639,120.678583,24.1916,120.6786,217348.73,2676280.07,0.190,-,-,環保局,環保公園,環保公園,志工認養,未解列,北屯區公所公用課,-,劉承榮,2460-6151,北屯區仁和里辦公處,民國113年12月31日,7,38,-,-,-,,
apr-200,87,臺中市,三民路復興路口(廣12綠地),復興路三段與三民路一段及高院路交界處,24.127944,120.667306,24.1279,120.6673,216183.98,2669227.94,0.019,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,南區區公所農業及建設課,-,徐?仁,22626105 e.403,南區福平里辦公處,民國113年12月31日,11,0,-,-,-,,
apr-201,87,臺中市,園道二(興大周遭),五權南路與五權南路380巷及永南街及五權南路368巷交界處(南區圖書館停車場前面),24.121028,120.670472,24.1210,120.6705,216507.44,2668462.99,0.562,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,臺中市政府建設局養護工程處(市六區工程),-,吳芋菁,2228-9111 e.34011,南區平和里辦公處,民國113年12月31日,4,145,-,-,-,,
apr-202,93,臺中市,舊汝鎏國小廢棄堆置場綠化(汝鎏公園),原住民活動中心運動場後方，或大雅區信義路85號對面,24.23425,120.622278,24.2343,120.6223,211641.91,2681023.47,0.460,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,志工認養,未解列,大雅區公所(農業課),-,邱楷元,25663316  e.323,大雅區忠義里里辦公處,民國113年12月31日,4,115,-,-,-,,
apr-203,96,臺中市,潭雅神自行車道兩側綠化(潭雅神自行車道綠美化二期),自行車道6.7k~8.7k處,24.2555,120.645833,24.2555,120.6458,214034.48,2683365.16,1.000,-,-,環境部,自行車道,自行車道,企業認養,未解列,臺中市政府觀光旅遊局觀光工程科,-,黃聖融,2228-9111 e.58114,MoriCafebar/森意咖啡吧,民國113年12月31日,4,558,-,-,-,,
apr-204,93,臺中市,潭雅神污染場址綠化(潭雅神自行車道綠美化一期),民族路至三民路間之區段,24.255825,120.656553,24.2558,120.6566,215131.20,2683395.64,4.800,-,-,環境部,自行車道,自行車道,志工認養,未解列,臺中市政府觀光旅遊局觀光工程科,-,黃聖融,2228-9111 e.58114,"神岡區庄前里辦公處
神岡區社南里辦公處
伶境咖啡",民國113年12月31日,"8
8",844,-,-,-,,
apr-205,86,臺中市,都計公三環保公園,復興路一段與合作街北方及新興路一段交界處,24.204917,120.708111,24.2049,120.7081,220348.75,2677746.49,0.968,-,-,環境部,環保公園,環保公園,志工認養,未解列,潭子區公所農業課,-,謝昀芷,25388699 e.1202,"潭子區福仁里環保志工隊
潭子區福仁里辦公處",民國113年12月31日,"13
7",263,-,-,-,,
apr-206,91,臺中市,后里環保公園,豐原往后里方向，過后豐大橋第一個紅綠燈左轉，枋寮路接堤防路右轉周邊,24.288139,120.705722,24.2881,120.7057,220124.40,2686961.54,16.000,-,-,環保局,環保公園,環保公園,企業認養,未解列,臺中市政府建設局養護工程處(山線工程隊),-,李依珊,2228-9111 e. 34065,"后里區舊社里辦公處
台灣美光記憶體股份有限公司",民國113年12月31日,"4
3",538,-,111,特殊貢獻獎,,
apr-207,99,臺中市,大甲東段62地號內空氣品質淨化區裸露地綠化(幸福環保公園),致用高中後方，水源路接興仁巷左側,24.341075,120.633614,24.3411,120.6336,212820.62,2692848.82,0.647,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,外埔區公所公用課,-,黃世雲,-,外埔區大東里環保志工隊,民國113年12月31日,10,179,-,-,-,,
apr-208,96,臺中市,海風小段248-3等地號裸露地綠化(海風里環保公園),原大楊國小分校舊址，舊庄路海風里活動中心指示牌右轉後約300公尺右方,24.295528,120.615222,24.2955,120.6152,210939.55,2687803.51,0.928,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,志工及企業認養,未解列,清水區公所公用及建設課,-,鍾元耀,2627-0151 e.415,"清水區海風里辦公處
永進機械工業股份有限公司",民國113年12月31日,"13
5",194,-,103、106、107、108、109、110、111,優勝、優勝、特優、貢獻獎、貢獻獎、特殊貢獻獎、服務模範獎,,
apr-209,88,臺中市,龍井大排水溝兩側道路綠化(龍井大排自行車道),觀光路龍井國中前至中央路止大排兩側,24.194694,120.535083,24.1947,120.5351,202771.42,2676664.40,0.647,-,-,環境部,道路綠帶,道路綠化,志工認養,未解列,龍井區公所公建課,-,陳俊瀛,26352411 e2217,龍井區龍津社區發展協會,民國113年12月31日,4,246,-,-,-,,
apr-210,86,臺中市,鄰公七公園,民權路與大同八街及大同十街交界處,24.112267,120.628619,24.1123,120.6286,212245.86,2667510.11,0.230,-,-,環境部,環保公園,環保公園,志工認養,未解列,烏日區公所農業課,-,張靜瑜,2336-8016 e.115,楓樹社區發展協會,民國113年12月31日,4,47,-,-,-,,
apr-211,86,臺中市,兒三公園,民權路與欽鈱巷及黎明路一段32巷交界處,24.113056,120.627722,24.1131,120.6277,212154.60,2667598.95,0.260,-,-,環境部,環保公園,環保公園,志工認養,未解列,烏日區公所農業課,-,張靜瑜,2336-8016 e.115,"楓樹社區發展協會
東陽穀物股份有限公司",民國113年12月31日,"6
6",60,-,-,-,,
apr-212,94,臺中市,資源回收場綠美化(太平資源回收場),光興路462巷與興農預拌混凝土廠交界右轉往上,24.099583,120.736778,24.0996,120.7368,223242.20,2666078.71,1.290,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,志工認養,未解列,臺中市環保局清潔隊管理科(太平區清潔隊),-,溫勝俊,0913-318958,永隆里辦公處,民國113年12月31日,3,50,-,-,-,,
apr-213,93,臺中市,麗園段1005地號廢棄物棄置場綠化(麗園公園一期),屯區藝文中心後方，長安東路接長安路248巷左側，麗園段1005地號,24.158189,120.733536,24.1582,120.7335,222919.05,2672569.28,0.945,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,志工及企業認養,未解列,太平區公所公用課,-,蘇婉瑜,22794157 e.321,"太平區光華里辦公處
華新麗華股份有限公司台中分公司",民國113年12月31日,"11
2",499,-,103、105、106、107、108、109、110、111,優勝、優勝、特優、優勝、貢獻獎、貢獻獎、特殊貢獻獎、服務模範獎,,
apr-214,97,臺中市,麗園段1003等地號裸露地綠化(麗園公園二期),屯區藝文中心後方，長安東路接長安路248巷左側，麗園段1003等地號,24.157514,120.732286,24.1575,120.7323,222796.96,2672491.99,0.680,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,志工及企業認養,未解列,太平區公所公用課,-,蘇婉瑜,22794157 e.321,"太平區光華里辦公處
華新麗華股份有限公司台中分公司",民國113年12月31日,"11
3",186,-,104、112,特優、優勝,,
apr-215,86,臺中市,環保公園(新社環保公園（復盛公園）),興社街二段28之1號，新社區公所後方,24.228639,120.810111,24.2286,120.8101,230713.53,2680353.42,5.200,-,-,環境部,環保公園,環保公園,志工認養,未解列,新社區公所農業及建設課,-,林杰良,2581-1111 e.225,新社區復盛里辦公處,民國113年12月31日,10,893,-,-,-,,
apr-216,85,臺中市,東豐綠廊自行車道,豐原區朴子口舊火車站-東勢區舊火車站,24.275583,120.779278,24.2756,120.7793,227593.67,2685563.33,-,36.1000 ,3.610,環境部,自行車道,自行車道,志工及企業認養,未解列,臺中市政府觀光旅遊局觀光工程科,-,葉舒曼,22289111＃58113,"石岡區萬興社區發展協會
華新麗華股份有限公司台中分公司
石岡區梅子社區發展協會",民國113年12月31日,"12
6",486,-,105、107、108、109、110、111,特優、優勝、優勝、佳作、特殊貢獻獎、服務模範獎,,
apr-217,97,臺中市,北陽公園及三陽段212地號,212地號(中陽路與北陽一街、北洋二街交界處),24.249736,120.736425,24.2497,120.7364,223232.85,2682702.43,0.498,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,豐原區公所公用課,-,蔡馥吉,2522-2106 e.351,"豐原區北陽環保志工隊 
豐原區北陽里辦公處
豐原區南村里辦公處",民國113年12月31日,"12
7",102,-,-,-,,
apr-218,89,臺中市,葫蘆墩公園,圓環北路二段與三環路及三豐路交界處,24.25975,120.721361,24.2598,120.7214,221711.91,2683823.98,25.150,-,-,環保局,環保公園,環保公園,志工認養,未解列,臺中市養護工程處(山線工程隊),-,邱保誠,2228-9111#34054,"豐原區東湳里辦公處
豐原區北湳里辦公處",民國113年12月31日,"9
8",482,-,-,-,,
apr-219,85,臺中市,公七公園,德芳路二段及永大街與永隆一街交會處,24.105011,120.6795,24.1050,120.6795,217418.21,2666688.87,1.500,-,-,環境部,環保公園,環保公園,志工及企業認養,未解列,大里區公所公用課,-,周明聰,2406-3979 e.310,"大里區新里里辦公處
宏全國際股份有限公司",民國113年12月31日,"7
2",280,-,107、108、109、110、111,優勝、優勝、特優、特殊貢獻獎、服務模範獎,,
apr-220,97,臺中市,塗城里裸露地綠化,塗城里活動中心旁(塗城路及光明路與健東路交界處),24.086639,120.721917,24.0866,120.7219,221724.55,2664641.89,0.800,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,大里區公所公用課,-,周明聰,2406-3979 e.310,"大里區塗城里辦公處
宏仁科技有限公司",民國113年12月31日,"11
4",421,-,104,優勝,,
apr-221,109,臺中市,麗園三期,環太東路旁,24.157038,120.728814,24.1570,120.7288,222441.19,2672437.30,0.085,-,-,環保局,環保公園,環保公園,志工認養,未解列,太平區公所公用課,-,蘇婉瑜,22794157 e.321,太平區光華里辦公處,民國113年12月31日,3,11,-,-,-,,
apr-222,87,彰化縣,臺14及臺14丙(彰化市~芬園鄉),北起彰化縣彰化市三村里彰興路一段與彰化縣彰化市古夷里金馬路一段交叉口，南至彰化縣彰化市福田里彰南路六段與彰化縣芬園鄉舊社村新興路一段交叉口,"24°04'48.7""N","120°36'16.7""E",24.0802,120.6046,209796.13,2663961.69,0.900,-,-,環境部,都會區道路綠化,道路綠化,自行維運,未解列,交通部公路總局第二區養護工程處彰化工務段,彰化縣彰化市彰興路一段6號,黃為任,"04~7325625#261
0922~994504",-,-,-,-,-,-,-,,
apr-223,87,彰化縣,公一環保公園,彰化縣彰化市卦山里卦山路8~1號(卦山路與公園路一段237巷交叉口),"24°04'42.2""N","120°33'03.2""E",24.0784,120.5509,204335.26,2663778.76,2.536,-,-,環境部,環保公園,環保公園,自行維運,未解列,彰化縣政府城市暨觀光發展處,彰化縣彰化市卦山路8之1號,營業管理課 蔡宜真,04~7532787 #2790,-,-,-,-,-,-,-,,
apr-224,89,彰化縣,復興地區（臺1線）~復興公園,彰化縣彰化市復興里中山路三段266~1號(彰化縣原住民生活館前),"24°05'10.5""N","120°33'37.2""E",24.0863,120.5603,205293.81,2664650.67,0.542,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,彰化縣政府民政處,彰化縣彰化市中山路三段266之1號,王韻雯,04~7223329,-,-,-,-,-,-,-,,
apr-225,89,彰化縣,臺十九線及槽化島綠色廊道計畫（臺十九線）,北起秀水鄉安樂街(彰19縣道)，南至三越街(明正國小)之道路中央分隔,"24°03'48.2""N","120°31'12.9""E",24.0634,120.5203,201218.11,2662127.79,1.000,-,-,環境部,都會區道路綠化,道路綠化,自行維運,未解列,交通部公路局中區養護工程分局彰化工務段,彰化縣彰化市彰興路一段6號,黃為任,"04~7325625#261
0922~994504",-,-,-,-,-,-,-,,
apr-226,98,彰化縣,茄南里中二高高架橋下裸露地綠化,彰化縣彰化市茄南里茄苳路二段290巷與彰化市茄南里茄苳路二段10巷交叉口,"24°06'02.0""N","120°33'15.7""E",24.1006,120.5544,204698.95,2666236.29,4.748,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,彰化市公所公用事業課,彰化縣彰化市光復路74號,李曉雯、潘?熹、柯先生,"04-7222141#1804(李)
#1802(柯)#1803(潘)
0977555446",-,-,-,-,-,-,-,,
apr-227,96,彰化縣,泰和國小裸露地綠化,彰化縣彰化市阿夷里泰和路二段145巷1號(建國北路與建國東路交叉口),"24°05'36.2""N","120°33'01.0""E",24.0934,120.5503,204279.57,2665440.22,0.968,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,企業認養,未解列,彰化縣泰和國民小學(每月調整) 彰北國民運動中心(租賃) 縣府體育設施科,彰化縣彰化市泰和路二段145巷1號,總務主任-陳主任(小學)、事務組長-許組長(小學)、蔡維剛(縣府),04~7222433#15,-,-,5,-,-,-,-,,
apr-228,94,彰化縣,三芬路廢棄物棄置場綠化,彰化縣花壇鄉永春村三芬路與彰化縣花壇鄉永春村中溪巷交叉口,"24°01'15.4""N","120°34'39.2""E",24.0209,120.5776,207031.03,2657402.22,0.400,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,自行維運,未解列,花壇鄉公所清潔隊,彰化縣花壇鄉南口村中山路二段182號,張雅惠,"
04~7865921#122",-,-,-,-,-,-,-,,
apr-229,101,彰化縣,復興段0669~0000等地號裸露地綠化,彰化縣秀水鄉鶴鳴村馬鳴路與彰化縣秀水鄉馬興村西銘巷交叉口,"24°03'46.5""N","120°29'27.0""E",24.0629,120.4908,198217.93,2662082.97,3.191,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,企業認養,未解列,秀水鄉公所建設課,彰化縣秀水鄉中山路290號,趙延宸,"04~7697024 #702
0910~548729",榮成紙業股份有限公司,110.10.01~114.09.30,4,-,-,-,-,,
apr-230,103,彰化縣,莊雅社區裸露地綠化,彰化縣秀水鄉福安村民華巷(秀水公園旁),"24°01'41.0""N","120°30'08.0""E",24.0281,120.5022,199363.61,2658224.70,1.700,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,企業認養,未解列,秀水鄉公所建設課,彰化縣秀水鄉中山路290號,趙延宸,"04~7697024 #702
0910~548729",榮成紙業股份有限公司,110.10.01~114.09.30,4,-,-,-,-,,
apr-231,90,彰化縣,運動環保公園,彰化縣鹿港鎮埔崙里中正路與彰化縣鹿港鎮埔崙里建國路交叉口至彰化縣鹿港鎮埔崙里天后路與彰化縣鹿港鎮埔崙里正興路交叉口,"24°03'40.1""N","120°26'07.7""E",24.0611,120.4355,192593.39,2661905.10,2.732,-,-,環境部,環保公園,環保公園,自行維運,未解列,鹿港鎮公所清潔隊,彰化縣鹿港鎮鹽埕巷200號,黃雅吟(清潔隊),"04~7773274#2111
0933~556770",-,-,-,-,-,-,-,,
apr-232,88,彰化縣,（機七）圖書館週邊植栽綠化,彰化縣鹿港鎮大有里公園一路與彰化縣鹿港鎮大有里公園三路交叉口,"24°03'18.5""N","120°25'52.8""E",24.0551,120.4313,192163.58,2661242.32,1.055,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,鹿港鎮公所清潔隊,彰化縣鹿港鎮鹽埕巷200號,黃雅吟(清潔隊),"04~7773274#2111
0933~556770",-,-,-,-,-,-,-,,
apr-233,100,彰化縣,元興段1441等地號(第十五公墓)裸露地綠化,彰化縣福興鄉廈粘村沿海路三段旁,"24°01'56.6""N","120°24'53.1""E",24.0324,120.4148,190475.04,2658735.14,0.720,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,福興鄉公所清潔隊,彰化縣福興鄉彰鹿路七段495號,莊子賢,04~7707030,-,-,-,-,-,-,-,,
apr-234,101,彰化縣,元興段1994等地號(粘厝溪畔)裸露地綠化,彰化縣福興鄉頂粘村頂粘街左側，福興鄉緊鄰濁水溪東側，裕農橋以北,"24°01'55.9""N","120°24'05.5""E",24.0322,120.4015,189122.07,2658718.68,0.800,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,福興鄉公所清潔隊,彰化縣福興鄉彰鹿路七段495號,莊子賢,04~7707030,-,-,-,-,-,-,-,,
apr-235,97,彰化縣,綠色長廊(慶安水道以西),彰化縣線西鄉溝內村彰濱東路與彰化縣線西鄉溝內村慶安路交接右側,"24°07'33.9""N","120°26'08.7""E",24.1261,120.4358,192652.84,2669103.87,1.000,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,線西鄉公所農業課,彰化縣線西鄉和線路983號,蘇家輝 承辦,04~7584012 #217,-,-,-,-,-,-,-,,
apr-236,103,彰化縣,草豐路、崁頂路及下塭路街道北側(建興段0776等地號)裸露地綠化,彰化縣線西鄉頂犁村草豐路、彰化縣線西鄉頂犁村崁頂路及彰化縣線西鄉頂犁村下塭路部分路段,"24°07'03.0""N","120°28'00.6""E",24.1175,120.4668,195800.22,2668139.06,-,2.75,0.275,環境部,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,線西鄉公所農業課,彰化縣線西鄉和線路983號,蘇家輝 承辦,04~7584012 #217,-,-,-,-,-,-,-,,
